sku_key,cluster
35990,6
9942,4
23968,6
9895,2
51703,2
24202,6
9751,4
23967,9
44055,4
51701,2
38660,6
9569,6
9564,4
9558,5
52422,5
38676,8
44116,7
51791,4
38719,7
52589,2
23939,2
10229,4
10189,2
23943,6
43749,2
9986,2
10162,2
10083,6
51793,4
10081,6
43789,2
51792,7
38720,7
10085,4
9514,1
9488,6
9478,2
7301,6
7300,7
7299,7
7298,6
26009,2
7295,6
7303,6
7294,7
45902,6
7289,6
26116,6
35906,6
51372,4
7200,2
7291,6
7376,7
25946,6
45436,7
38254,4
51568,4
9002,4
24899,9
38097,6
37123,4
51567,4
8383,4
51566,6
7796,4
25298,6
7770,4
25366,7
45266,8
7586,7
10252,2
7197,4
10377,6
23849,6
39790,9
20288,6
41562,6
15847,6
39789,8
20722,2
16824,9
39788,7
41569,4
52167,4
41699,2
20838,6
41786,7
20839,7
39584,6
20840,6
41474,4
41245,6
19458,7
19627,6
40582,2
18178,4
52614,2
19628,6
39819,2
19629,7
17355,6
52200,2
17167,2
40104,7
39857,4
16902,4
40352,2
15464,7
52132,2
20841,6
51944,6
29425,7
11686,8
38758,7
42546,2
11390,6
38760,7
23488,4
38727,7
23591,7
10868,6
23842,2
23843,2
43040,6
42656,4
23275,7
38785,7
12080,8
41835,4
20913,6
20995,8
39402,4
39401,2
39384,6
41881,2
22253,8
52131,4
42213,4
42258,4
12504,4
38789,6
22787,7
22955,8
51822,2
46433,8
19162,6
7181,4
28901,4
5491,8
50900,4
28907,2
28908,6
4508,8
4507,8
4506,8
4505,8
33383,2
49443,6
28912,6
33230,6
49447,7
2806,8
28900,4
49448,4
49067,9
48906,8
48752,7
48753,8
48754,6
50958,2
48818,4
50957,2
34768,7
50956,4
51366,4
48848,6
48854,7
34754,7
5801,2
28804,7
34726,6
28877,4
48751,8
33043,5
49491,6
920,7
50605,9
28970,7
29911,7
28990,7
50114,6
50115,6
586,4
50124,8
50133,3
50335,2
182,6
50337,7
29857,1
50409,2
938,4
28930,6
30080,2
49960,3
32503,4
32334,7
28944,6
31225,6
28955,6
49502,4
49527,4
50837,2
28957,7
30741,4
49810,2
1775,4
50690,4
49930,4
50606,8
30081,4
48750,7
34759,4
28576,4
35801,8
48271,4
6217,7
35800,9
6218,4
47593,9
6889,2
28182,4
27569,4
35802,7
35217,4
35798,7
35237,4
27819,6
35796,6
50990,7
35674,7
27820,7
35356,6
28748,4
50989,8
51127,4
35676,6
35155,7
35795,7
48748,7
28747,6
47412,9
47413,9
28736,4
48688,6
35804,8
34839,4
7179,6
47487,2
48676,9
7178,6
35018,7
48541,8
6845,9
7177,6
48355,7
48354,7
48353,4
48673,1
35666,4
52463,2
28964,7
38721,6
20290,6
40444,4
27246,4
35873,4
35943,4
29858,5
29859,4
20713,7
40171,6
26067,4
36292,4
20206,4
40445,4
39800,4
28966,7
26081,4
39570,4
25133,6
36768,4
34418,6
34556,4
38726,6
24265,2
28577,6
35094,4
28906,4
23850,6
24180,6
23940,4
28762,4
38690,6
34770,6
23945,6
23875,2
23304,2
23297,4
35215,2
36819,6
35677,6
52429,2
35675,7
32532,4
21823,2
39139,2
28184,4
28915,4
28414,4
35239,6
28910,2
38253,4
23112,4
24452,4
35794,7
28,4
51910,2
40577,1
46071,3
7205,2
46274,2
7198,4
46540,7
51362,2
7288,7
46783,2
47119,7
47192,7
47364,7
47411,7
51064,6
47795,2
46997,7
7292,6
7293,7
7296,6
9565,4
9557,7
44314,7
9406,6
44315,2
8999,6
44662,8
44663,7
44893,7
51565,6
44972,5
45720,6
7406,7
7302,6
7297,4
48144,6
9732,4
50976,3
50969,2
49470,2
2423,2
49498,2
2420,6
49501,2
49621,6
2443,4
1819,4
50081,4
50090,7
50101,2
50116,4
50575,2
100,6
50015,7
49444,4
3577,4
3830,4
48742,7
48819,4
48833,4
48842,4
50955,2
48860,2
50953,4
49053,4
49084,2
49167,7
49267,7
49334,4
49397,2
4491,5
50856,2
48283,2
51702,2
7375,6
43966,2
42456,4
51984,4
42429,2
42264,2
42024,4
51705,2
41847,6
41843,4
41842,1
41836,6
15447,6
15451,6
15722,2
15751,4
41563,6
16504,2
41561,4
52168,6
41288,6
52198,2
17553,4
40581,4
18739,6
42471,6
11511,2
29619,4
43746,2
42999,4
43907,2
43787,2
43921,8
10843,4
43744,2
43911,2
43718,4
43930,7
11053,4
41565,1
49343,4
39410,4
52189,4
43747,2
33381,4
43784,2
52166,4
50936,4
49454,6
52169,4
41573,4
42475,6
39821,2
32087,4
51669,2
40380,2
52233,4
50091,4
40605,1
50082,2
38658,4
40177,2
49908,4
30582,4
40698,4
31083,6
52192,2
41244,6
31314,6
31437,4
41793,4
49496,4
41794,4
43722,4
42574,2
42268,2
51072,1
51086,7
47731,4
47578,6
38787,4
42995,2
42438,4
38769,8
46994,4
46894,2
38767,7
51220,2
51358,2
38761,4
42993,2
42458,2
35662,4
43738,2
35502,2
50996,4
37121,4
45433,4
48749,6
48747,4
39400,4
48717,4
48684,6
48671,6
35071,4
48493,4
43570,7
41877,4
45891,6
48157,1
52234,2
48125,4
47910,6
47799,2
41924,2
50573,2
6871,2
28580,6
28579,7
28461,4
6524,2
6614,4
28183,6
28180,4
27901,2
27683,4
27250,4
7204,4
9404,4
5899,2
9980,2
24209,2
10231,4
10782,4
11685,6
21552,4
20836,8
20782,4
15444,7
20286,2
15677,4
16825,7
17661,2
24406,2
28946,4
18907,4
1652,2
7472,7
45417,2
7759,2
7769,6
44895,6
9405,2
9862,4
38251,4
9989,4
52423,2
50086,6
10063,4
50113,6
52421,4
28965,4
23952,4
51824,2
45875,2
28967,6
36291,4
46097,2
47770,2
35654,2
47764,6
51089,2
47694,6
35793,6
28173,2
49922,4
18275,2
35797,7
49961,3
47123,2
27186,4
46993,2
51352,2
49564,4
7195,4
50005,4
35527,5
1960,8
42994,7
50336,4
41567,4
39901,2
16513,2
52185,1
52339,2
41480,5
19632,4
16826,8
40349,2
17166,2
40353,4
40699,6
19541,4
40649,4
19301,6
40585,7
50316,4
10869,6
15672,2
39787,4
51851,4
38768,7
42578,2
42476,4
585,4
42473,4
42457,2
11865,4
39138,2
22115,7
11920,2
12330,2
50118,2
29382,2
42214,4
12725,6
41838,6
41788,4
23487,6
46542,7
29618,4
49567,4
34763,2
52484,2
28669,4
50959,6
48846,6
34769,6
35017,4
48257,4
1822,4
32536,4
48672,6
6106,4
48265,2
6141,2
33495,2
49054,2
48418,2
34874,2
48853,4
48263,2
32499,6
6557,2
5933,4
49504,4
49503,4
34419,4
48843,4
31084,6
48845,1
49505,2
48844,4
28799,7
28462,2
47904,2
47916,4
50992,7
50987,8
47900,2
34627,6
5943,2
28956,6
32336,4
6513,4
48840,6
49565,2
48851,2
42025,4
51987,4
51983,2
42267,1
42272,2
50117,6
50299,2
42273,1
52054,4
12631,4
5788,2
41700,2
50947,6
50466,3
40637,4
2422,2
17342,4
50852,2
4113,6
49419,6
49400,6
16827,6
49359,2
41386,2
34,4
4727,4
52188,2
4728,6
52183,4
52182,2
49330,6
15773,2
49260,4
50903,4
41571,4
52958,6
41701,2
52165,4
50904,2
48894,2
15510,4
41795,4
15450,4
11864,8
50998,6
48841,4
45892,2
50977,6
46114,2
7199,4
7196,4
51353,2
46865,2
46977,2
48248,7
46996,6
48246,2
48145,4
47188,4
52843,4
52845,4
49926,2
6810,7
47561,4
47570,2
51107,2
1651,2
6784,6
49872,2
47689,2
47700,6
50993,8
52856,4
7377,4
42468,6
45872,2
6112,2
5930,4
48815,4
5934,4
5937,6
43044,4
43052,2
6034,2
10781,4
10774,2
43710,4
10165,2
43765,2
6096,2
6107,2
815,2
29617,4
50961,2
6111,2
51668,4
44144,4
9477,2
48483,1
50080,4
8384,6
7816,6
44973,4
45190,2
7463,6
48687,2
38791,7
27252,2
30366,4
36689,2
28935,6
52613,4
40068,2
40066,2
38679,8
24403,4
35658,2
32501,3
28181,3
31365,4
35799,6
37636,2
27508,4
52428,2
32132,4
25107,4
52462,2
27017,2
39831,2
35908,4
35939,4
25951,6
35940,4
26007,4
36766,2
28502,4
23965,6
35389,2
28781,4
34732,2
40355,2
38790,6
30104,4
20187,4
28740,2
52236,2
34291,4
52506,6
52391,2
52612,2
28911,2
34909,4
34944,2
40264,2
18908,2
30365,4
28909,4
28905,4
49538,4
42455,6
25952,4
51986,6
45491,2
1379,2
44091,2
9716,2
23113,2
50725,4
50083,4
23149,2
42880,2
10228,2
10907,4
43069,2
50571,2
31513,2
9965,2
51373,4
48153,3
48156,2
6161,2
6128,4
34838,4
48494,2
48128,2
5736,4
48896,4
34757,2
52914,2
52509,4
48847,4
28913,2
5787,2
2421,2
6476,2
35477,4
36190,6
35941,2
46544,7
3145,4
47000,7
52839,4
35238,4
808,4
28939,4
28179,4
47592,4
28296,2
51081,2
49268,6
4447,2
12397,2
50954,4
41798,7
41570,4
41796,7
28974,4
29626,4
40706,4
20714,2
29380,4
523,4
41731,2
50136,6
10783,2
16739,2
527,4
41698,1
41493,1
10080,6
46546,4
48647,2
48643,2
42470,4
11785,4
35214,2
43724,6
36408,2
52053,2
8454,7
6809,4
47765,6
31438,4
20285,2
48850,4
28938,4
39791,4
19631,2
26006,4
49402,2
41472,2
7290,6
34963,2
41568,2
5790,2
5779,2
50854,2
52848,2
51384,2
15676,2
35887,2
15678,2
6487,2
19225,2
28883,4
34734,3
41799,6
5901,4
51083,7
13774,4
5932,4
30085,4
47777,4
31367,4
47771,2
34945,2
47707,2
48275,7
50986,8
50135,6
47690,2
46068,2
49269,2
40170,4
45805,2
5925,2
34825,2
39753,2
41648,6
11786,2
50944,7
43064,2
21448,6
51364,2
30082,4
43717,2
34753,1
35478,2
44143,2
52912,4
46069,2
52187,1
50576,4
34762,2
51122,6
38737,7
47574,7
28963,6
46547,7
41703,2
2166,2
48868,4
48865,4
24262,2
43686,2
40173,2
50321,2
36607,2
51084,2
49331,2
6678,2
35657,2
52961,8
51129,4
45175,4
42462,4
40586,7
32502,4
35531,4
50085,6
49537,7
51078,2
35603,2
40692,4
39756,2
40354,2
47415,6
35942,2
48654,2
48656,2
52514,2
51816,2
43927,2
40942,2
51787,4
51367,4
35706,2
50410,2
6477,1
52910,1
47565,2
41186,4
48890,2
50006,4
7000,2
20207,2
41702,3
39826,2
4606,2
47228,6
46974,2
47187,2
49483,2
46070,2
47244,4
26823,8
49477,2
49445,4
29855,2
48417,2
521,2
48496,2
10325,2
43719,2
48497,2
49933,2
15446,7
41849,4
52350,2
12726,1
22753,2
40694,2
33044,2
39392,2
810,2
23256,4
24453,2
10230,2
48166,2
50300,4
20287,2
51517,2
25640,2
8984,2
44145,2
41523,4
52512,7
44079,2
44100,2
52123,4
47978,2
50991,8
32535,2
49612,2
44076,2
52191,2
41572,2
52960,8
52894,4
40693,2
48670,2
47196,2
52913,2
52199,2
47905,4
50901,4
50962,2
50577,2
41839,2
44977,2
46900,2
15445,4
44092,2
52821,2
36769,2
31937,2
41787,2
23960,4
51982,2
5942,2
51093,4
44051,2
49620,2
23049,2
52586,4
52585,2
47569,2
45804,2
47229,4
51659,2
6890,2
50329,2
39762,6
47590,2
52900,2
42459,2
34292,2
11087,2
50898,1
27247,2
39754,2
10061,2
15675,2
52962,7
50587,2
47194,1
52205,2
46984,4
15623,6
20780,4
29620,4
28950,4
39772,4
43793,2
28780,6
21441,2
6099,2
48595,2
50418,2
33384,4
52588,4
46998,7
51082,4
43910,4
30708,2
35661,2
41576,2
47562,2
41811,2
47585,6
49373,2
28735,2
52418,2
52580,4
44660,6
48746,2
42581,2
152,2
51710,2
15160,4
47581,4
40019,2
47587,4
53041,2
46919,2
47222,4
47576,4
48835,2
50937,3
47586,6
20837,8
51108,2
25955,2
51383,6
47486,2
52130,2
49662,1
9988,2
42734,1
23257,2
52964,2
30364,2
50425,2
49165,2
50141,2
49398,2
47912,2
39397,4
36770,2
51861,2
12249,2
51980,4
16969,2
51096,2
47903,4
44073,2
49246,6
47754,4
47141,2
10082,2
49854,4
46918,2
44296,2
47236,4
43909,4
43712,4
48237,6
9528,2
23549,4
40446,2
34508,4
52806,2
35154,4
5929,2
52510,2
16878,2
43527,1
9752,2
50417,2
51128,4
48852,2
7180,2
47488,2
47696,5
35511,2
52875,2
51053,2
34735,2
28463,2
42608,2
35216,2
48892,2
38252,2
47800,2
44552,4
52126,2
52837,2
51509,2
41575,6
2444,2
39770,6
50855,2
41524,2
52534,2
7772,4
52133,2
41792,6
52847,2
50087,2
39398,2
47575,5
52486,2
52834,4
50416,2
52833,2
31493,4
52345,2
34689,2
53025,2
44981,2
49283,2
50921,2
52911,1
35501,3
50224,2
11475,2
48234,4
52828,4
53023,2
25573,1
44114,6
48861,2
42269,2
39399,4
31515,2
52495,3
38095,6
1134,4
52800,2
49566,4
49088,2
35192,4
30211,2
10169,2
49988,2
15713,2
49847,1
2441,4
49079,2
28962,6
47245,2
41957,4
48740,2
47749,3
35872,2
48505,2
52591,2
52490,2
42463,7
45973,2
39852,4
47774,2
51365,2
325,4
48639,2
52497,2
52827,2
52542,2
52533,2
50825,7
23514,4
1820,4
5941,2
31581,4
46203,2
5728,6
48724,2
40555,2
46090,4
50820,2
51790,4
11914,2
49909,2
41564,6
47693,4
50849,2
7730,2
47909,4
39404,2
49971,3
25005,2
51679,4
51832,4
20198,2
16562,2
50988,7
52690,4
51391,2
6102,2
38722,4
35698,4
52686,3
10076,2
51392,2
18179,4
44138,2
52691,2
50982,2
43716,2
43725,2
40269,2
47127,2
47571,2
2440,6
51794,4
52869,4
42392,2
50985,9
50121,2
49311,2
48445,3
50319,2
42422,2
43731,2
52836,4
50239,2
29854,2
50994,8
53325,7
2188,2
52857,2
49526,2
51395,2
52672,2
49284,2
53347,4
50469,7
52688,2
42418,2
52531,2
9746,2
52587,2
47691,7
43675,2
52854,2
6748,2
588,2
52704,4
52615,2
32481,2
40105,2
44067,2
49399,2
52665,4
49357,2
48079,2
51094,2
36765,4
17173,2
53317,2
36851,2
52699,6
42998,2
52539,2
53321,4
41373,2
52670,3
42280,2
45534,4
52696,4
52698,2
48866,2
52675,3
24779,2
41566,4
41070,1
44333,2
48738,3
50467,6
42161,2
48663,1
51126,6
35886,2
53228,6
41706,3
48236,4
10411,2
41734,3
28942,2
2934,1
51143,2
51146,2
36820,2
51859,2
53231,2
40544,4
48661,1
28388,2
47741,4
52476,2
53313,2
51924,2
6886,2
47692,8
51680,2
43683,2
51711,6
53329,2
20189,2
53331,2
42148,2
1378,2
22124,4
52667,2
14928,2
52694,3
52700,1
6892,2
52679,4
49356,2
6888,2
40584,2
51109,2
17963,2
13099,3
6891,2
53334,2
6319,2
6157,4
51613,2
23876,2
33931,6
6146,4
53003,2
40017,2
44056,2
46976,2
51356,2
36852,2
53434,6
52916,1
51704,2
53007,4
53014,2
28266,2
52671,1
45711,4
53447,3
53330,2
34953,2
51374,4
52479,2
50624,2
52729,2
53437,4
28553,2
52705,2
52868,2
52367,4
52918,7
53449,2
49082,2
52368,2
42395,2
41483,4
43727,4
52674,4
6887,2
985,2
53579,6
53230,2
9896,2
17660,4
44048,2
52981,2
49107,2
51354,2
52882,2
53332,2
11389,2
42444,4
49085,2
6861,2
53308,2
51908,2
53532,4
50574,2
52505,2
53528,4
52883,4
44049,2
2671,2
53654,2
50896,8
53115,2
53324,6
53657,2
53450,4
6303,2
51379,2
53682,2
53252,8
53267,2
40583,4
42169,2
5951,4
53673,2
53013,2
51692,2
53603,6
53681,2
52503,2
53265,4
53264,4
53012,2
52988,4
53636,2
53266,2
43750,4
28722,2
52844,2
48834,2
49576,2
51658,4
52365,2
6912,2
53496,4
53495,2
53786,2
47135,4
53327,2
49070,4
53498,6
51936,2
47816,2
53684,2
48255,2
6271,2
46092,3
53848,2
41834,6
46914,2
53937,2
51929,2
9784,2
52989,4
36872,2
53936,2
53847,2
53602,2
40955,2
53853,2
48164,2
53952,4
53785,2
46982,2
51363,2
50948,2
6924,2
